reply_to_status_id,sentiment_score,parent_sentiment,agreement_score
x1073340537153949697,-0.55825,-0.4019,-0.9601500000000001
x1073344400976211971,0.4404,-0.3818,0.05860000000000004
x1073346833999687686,0.6908,-0.0772,0.6135999999999999
x1073361931979890688,0.24385,0.34,0.58385
x1073364445823451137,0.7351,0.0,0.7351
x1073369565051027458,0.0,0.4926,0.4926
x1073369629790093312,-0.6486,0.0,-0.6486
x1073369671875801088,0.1154,-0.6486,-0.5331999999999999
x1073369711369318400,0.0,0.1154,0.1154
x1073369750732820480,0.4939,0.0,0.4939
x1073371994861826048,0.0,0.3612,0.3612
x1073379544114053120,0.743,-0.3182,0.4248
x1073384580776910848,0.4316,0.2023,0.6339
x1073400934661681153,-0.010825000000000001,-0.4404,-0.451225
x1073429876672212992,0.22275000000000003,-0.6249,-0.40215
x1073461332609921024,-0.29600000000000004,-0.4019,-0.6979
x1073490276579270657,-0.4215,0.2023,-0.21919999999999998
x1073495379587620864,-0.8402,-0.8555,-1.6957
x1073510420957315073,0.0,-0.29600000000000004,-0.29600000000000004
x1073515442692599808,0.0,-0.29600000000000004,-0.29600000000000004
